qid,docid,docno,rank,score,query,run_id
MB03,204,2045461488979112332,6,5.03613061018119,closing hormuz strait,BM25_stems
MB03,231,2045456663184847359,7,4.991291749112371,closing hormuz strait,BM25_stems
MB03,247,2045454542460850480,8,4.991291749112371,closing hormuz strait,BM25_stems
MB03,250,2045453773682671952,9,4.991291749112371,closing hormuz strait,BM25_stems
MB03,253,2045452671298007229,10,4.991291749112371,closing hormuz strait,BM25_stems
MB03,275,2045449695489892499,11,4.991291749112371,closing hormuz strait,BM25_stems
MB03,292,2045447076343951468,12,4.991291749112371,closing hormuz strait,BM25_stems
MB03,212,2045460030061772928,13,4.872125218617751,closing hormuz strait,BM25_stems
MB03,220,2045459033885491314,14,4.853293009420394,closing hormuz strait,BM25_stems
MB03,244,2045454999518339562,15,4.853293009420394,closing hormuz strait,BM25_stems
MB03,294,2045446979543585187,16,4.853293009420394,closing hormuz strait,BM25_stems
MB03,200,2045461866365718542,17,4.722719722507176,closing hormuz strait,BM25_stems
MB03,270,2045450185514344567,18,4.722719722507176,closing hormuz strait,BM25_stems
MB03,205,2045461058244976964,19,4.65043140312742,closing hormuz strait,BM25_stems
MB03,203,2045461578875912680,20,4.598988265708006,closing hormuz strait,BM25_stems
MB03,239,2045455725711986694,21,4.598988265708006,closing hormuz strait,BM25_stems
MB03,201,2045461708303724675,22,4.504122542989398,closing hormuz strait,BM25_stems
MB03,226,2045457568517218638,23,4.4815746166552595,closing hormuz strait,BM25_stems
MB03,268,2045450251713049084,24,4.4815746166552595,closing hormuz strait,BM25_stems
MB03,283,2045448604580515929,25,4.4815746166552595,closing hormuz strait,BM25_stems
MB03,288,2045447819608326344,26,4.4815746166552595,closing hormuz strait,BM25_stems
MB03,213,2045459959824228366,27,4.47683459255794,closing hormuz strait,BM25_stems
MB03,242,2045455214837117361,28,4.47683459255794,closing hormuz strait,BM25_stems
MB03,284,2045448439035793778,29,4.47683459255794,closing hormuz strait,BM25_stems
MB04,304,2044685310668226788,0,8.643012231097423,intercepting missiles drones,BM25_stems
MB04,338,2042715314702426508,1,8.390064116556424,intercepting missiles drones,BM25_stems
MB04,316,2043887981031776405,2,8.350109171830372,intercepting missiles drones,BM25_stems
MB04,370,2042119334873723208,3,8.15150067689344,intercepting missiles drones,BM25_stems
MB04,362,2042254651806888064,4,8.02939677570898,intercepting missiles drones,BM25_stems
MB04,300,2045394836304650479,5,7.712883748308526,intercepting missiles drones,BM25_stems
MB04,324,2043347478355788094,6,7.712883748308526,intercepting missiles drones,BM25_stems
MB04,379,2041973143313735695,7,7.702811156988961,intercepting missiles drones,BM25_stems
MB04,315,2043932773380174155,8,7.510812399938475,intercepting missiles drones,BM25_stems
MB04,328,2043225079988048080,9,7.510812399938475,intercepting missiles drones,BM25_stems
MB04,307,2044427189308022874,10,7.3825123219599025,intercepting missiles drones,BM25_stems
MB04,317,2043841294741688481,11,7.336021623229322,intercepting missiles drones,BM25_stems
MB04,381,2041956881044824180,12,7.192011704762077,intercepting missiles drones,BM25_stems
MB04,394,2041887102116217327,13,7.172440660538509,intercepting missiles drones,BM25_stems
MB04,325,2043272541414826137,14,7.1368527980362595,intercepting missiles drones,BM25_stems
MB04,333,2042965263859999161,15,7.1368527980362595,intercepting missiles drones,BM25_stems
MB04,359,2042302133610168738,16,7.128737663546217,intercepting missiles drones,BM25_stems
MB04,383,2041910637744284140,17,7.113065321827096,intercepting missiles drones,BM25_stems
MB04,301,2045227088437997935,18,6.963498246397421,intercepting missiles drones,BM25_stems
MB04,345,2042554367539044512,19,6.963498246397421,intercepting missiles drones,BM25_stems
MB04,306,2044436974035980766,20,6.798365568403584,intercepting missiles drones,BM25_stems
MB04,342,2042606291000979818,21,6.798365568403584,intercepting missiles drones,BM25_stems
MB04,346,2042491002603061392,22,6.798365568403584,intercepting missiles drones,BM25_stems
MB04,386,2041903437932020199,23,6.771273349168768,intercepting missiles drones,BM25_stems
MB04,335,2042910570622357536,24,6.675109513795166,intercepting missiles drones,BM25_stems
MB04,320,2043598876813467803,25,6.670030652857042,intercepting missiles drones,BM25_stems
MB04,380,2041961120723038433,26,6.640883392064451,intercepting missiles drones,BM25_stems
MB04,311,2044037152716013858,27,6.635321319255212,intercepting missiles drones,BM25_stems
MB04,314,2043934581552787948,28,6.635321319255212,intercepting missiles drones,BM25_stems
MB04,305,2044674816972890502,29,6.564455302691811,intercepting missiles drones,BM25_stems
MB05,405,2045459126311067980,0,5.1604183212901225,revolutionary guard iran,BM25_stems
MB05,437,2045424407573635553,1,4.146727126798587,revolutionary guard iran,BM25_stems
MB05,436,2045426561290285330,2,3.844554428757548,revolutionary guard iran,BM25_stems
MB05,498,2045310239486915006,3,3.844554428757548,revolutionary guard iran,BM25_stems
MB05,410,2045451395625619495,4,3.6664384412005084,revolutionary guard iran,BM25_stems
MB05,415,2045446936527024532,5,3.583429334859716,revolutionary guard iran,BM25_stems
MB05,488,2045338968556810498,6,3.583429334859716,revolutionary guard iran,BM25_stems
MB05,207,2045460899629027460,7,3.52148131612967,revolutionary guard iran,BM25_stems
MB05,416,2045446414579253519,8,3.492656954705885,revolutionary guard iran,BM25_stems
MB05,428,2045435273732047300,9,3.4281987380983545,revolutionary guard iran,BM25_stems
MB05,467,2045392249698041875,10,3.3555198459728914,revolutionary guard iran,BM25_stems
MB05,474,2045366687168401511,11,3.3555198459728914,revolutionary guard iran,BM25_stems
MB05,413,2045449234804068693,12,3.3175085160282327,revolutionary guard iran,BM25_stems
MB05,407,2045453851889950937,13,3.2858586093718523,revolutionary guard iran,BM25_stems
MB05,424,2045436789557764567,14,3.2361195311664543,revolutionary guard iran,BM25_stems
MB05,438,2045423473380532720,15,3.2361195311664543,revolutionary guard iran,BM25_stems
MB05,472,2045370881032265777,16,3.2190309093154785,revolutionary guard iran,BM25_stems
MB05,403,2045460939474968746,17,3.1548673066918203,revolutionary guard iran,BM25_stems
MB05,419,2045444225110626383,18,3.1548673066918203,revolutionary guard iran,BM25_stems
MB05,404,2045460237138997688,19,3.093211607810493,revolutionary guard iran,BM25_stems
MB05,417,2045446184953671969,20,3.093211607810493,revolutionary guard iran,BM25_stems
MB05,422,2045437779526738109,21,3.093211607810493,revolutionary guard iran,BM25_stems
MB05,448,2045406410104594882,22,3.093211607810493,revolutionary guard iran,BM25_stems
MB05,449,2045406049868382666,23,3.093211607810493,revolutionary guard iran,BM25_stems
MB05,450,2045405977751560313,24,3.093211607810493,revolutionary guard iran,BM25_stems
MB05,451,2045405875834105981,25,3.093211607810493,revolutionary guard iran,BM25_stems
MB05,452,2045405640600809490,26,3.093211607810493,revolutionary guard iran,BM25_stems
MB05,453,2045405560237940938,27,3.093211607810493,revolutionary guard iran,BM25_stems
MB05,454,2045404875396202597,28,3.093211607810493,revolutionary guard iran,BM25_stems
MB05,455,2045404681820688467,29,3.093211607810493,revolutionary guard iran,BM25_stems
MB01,74,2045436304238764390,0,4.187885510361576,regime change iran,TF_IDF_stems
MB01,3,2045459926248829101,1,4.172555856411254,regime change iran,TF_IDF_stems
MB01,2,2045460590563410352,2,4.050441007042098,regime change iran,TF_IDF_stems
MB01,53,2045441340368957757,3,4.050441007042098,regime change iran,TF_IDF_stems
MB01,89,2045434295410462920,4,4.050441007042098,regime change iran,TF_IDF_stems
MB01,20,2045453809359462654,5,3.95128318987664,regime change iran,TF_IDF_stems
MB01,36,2045447868765687984,6,3.9352705953064886,regime change iran,TF_IDF_stems
MB01,43,2045445702428315950,7,3.9352705953064886,regime change iran,TF_IDF_stems
MB01,25,2045452145101619611,8,3.82646862383372,regime change iran,TF_IDF_stems
MB01,28,2045451431981748380,9,3.82646862383372,regime change iran,TF_IDF_stems
MB01,44,2045444785696076112,10,3.82646862383372,regime change iran,TF_IDF_stems
MB01,76,2045436169584808399,11,3.82646862383372,regime change iran,TF_IDF_stems
MB01,95,2045433045063258122,12,3.82646862383372,regime change iran,TF_IDF_stems
MB01,69,2045437692511711397,13,3.723521081924657,regime change iran,TF_IDF_stems
MB01,81,2045435852072092103,14,3.723521081924657,regime change iran,TF_IDF_stems
MB01,99,2045432568154042718,15,3.723521081924657,regime change iran,TF_IDF_stems
MB01,31,2045450762353090823,16,3.625967825547127,regime change iran,TF_IDF_stems
MB01,93,2045433390967517552,17,3.6143964488331495,regime change iran,TF_IDF_stems
MB01,59,2045440283559784730,18,3.5386951970454787,regime change iran,TF_IDF_stems
MB01,65,2045438432747667600,19,3.533395701169289,regime change iran,TF_IDF_stems
MB01,66,2045438384320205216,20,3.533395701169289,regime change iran,TF_IDF_stems
MB01,72,2045436749246255493,21,3.533395701169289,regime change iran,TF_IDF_stems
MB01,98,2045432583836598399,22,3.533395701169289,regime change iran,TF_IDF_stems
MB01,144,2045379660976939335,23,3.533395701169289,regime change iran,TF_IDF_stems
MB01,146,2045379059228487850,24,3.533395701169289,regime change iran,TF_IDF_stems
MB01,46,2045443906599346534,25,3.4770848196166115,regime change iran,TF_IDF_stems
MB01,0,2045461003153162682,26,3.445432696675722,regime change iran,TF_IDF_stems
MB01,38,2045447137094230451,27,3.445432696675722,regime change iran,TF_IDF_stems
MB01,42,2045446143811768783,28,3.445432696675722,regime change iran,TF_IDF_stems
MB01,83,2045435452400796018,29,3.445432696675722,regime change iran,TF_IDF_stems
MB02,112,2045427519814312418,0,3.5664838144419586,regime collapse,TF_IDF_stems
MB02,142,2045381055708860714,1,3.458959563867537,regime collapse,TF_IDF_stems
MB02,152,2045364763312455785,2,3.458959563867537,regime collapse,TF_IDF_stems
MB02,101,2045458769492979802,3,3.3577289654882083,regime collapse,TF_IDF_stems
MB02,135,2045392180802396314,4,3.2622551573819987,regime collapse,TF_IDF_stems
MB02,156,2045358981343072490,5,3.2622551573819987,regime collapse,TF_IDF_stems
MB02,176,2045318504618868886,6,3.2622551573819987,regime collapse,TF_IDF_stems
MB02,178,2045315972463047147,7,3.176650870523467,regime collapse,TF_IDF_stems
MB02,172,2045326421111820314,8,3.1119309792378527,regime collapse,TF_IDF_stems
MB02,126,2045399549531890158,9,3.0867193396095467,regime collapse,TF_IDF_stems
MB02,162,2045348543255150822,10,3.0867193396095467,regime collapse,TF_IDF_stems
MB02,164,2045345115867349323,11,3.0867193396095467,regime collapse,TF_IDF_stems
MB02,182,2045310621353177590,12,3.0867193396095467,regime collapse,TF_IDF_stems
MB02,134,2045393312979542087,13,3.0499046278480444,regime collapse,TF_IDF_stems
MB02,133,2045393501299548572,14,3.0058497765059142,regime collapse,TF_IDF_stems
MB02,65,2045438432747667600,15,2.929109465295399,regime collapse,TF_IDF_stems
MB02,66,2045438384320205216,16,2.929109465295399,regime collapse,TF_IDF_stems
MB02,103,2045455413861023835,17,2.929109465295399,regime collapse,TF_IDF_stems
MB02,144,2045379660976939335,18,2.929109465295399,regime collapse,TF_IDF_stems
MB02,146,2045379059228487850,19,2.929109465295399,regime collapse,TF_IDF_stems
MB02,147,2045377434011488749,20,2.929109465295399,regime collapse,TF_IDF_stems
MB02,173,2045325917611049104,21,2.929109465295399,regime collapse,TF_IDF_stems
MB02,189,2045305048268484832,22,2.9190982043554703,regime collapse,TF_IDF_stems
MB02,123,2045399803203592596,23,2.815547382138427,regime collapse,TF_IDF_stems
MB02,124,2045399721959977051,24,2.815547382138427,regime collapse,TF_IDF_stems
MB02,125,2045399616376758278,25,2.815547382138427,regime collapse,TF_IDF_stems
MB02,127,2045399529609183420,26,2.815547382138427,regime collapse,TF_IDF_stems
MB02,128,2045399431688945699,27,2.815547382138427,regime collapse,TF_IDF_stems
MB02,129,2045399378849104068,28,2.815547382138427,regime collapse,TF_IDF_stems
MB02,130,2045399286964535695,29,2.815547382138427,regime collapse,TF_IDF_stems
MB03,210,2045460430038925635,0,4.987170878672838,closing hormuz strait,TF_IDF_stems
MB03,243,2045455038752190844,1,4.987170878672838,closing hormuz strait,TF_IDF_stems
MB03,246,2045454947257577803,2,4.987170878672838,closing hormuz strait,TF_IDF_stems
MB03,299,2045446092720882085,3,4.987170878672838,closing hormuz strait,TF_IDF_stems
MB03,217,2045459430100058130,4,4.967640965601863,closing hormuz strait,TF_IDF_stems
MB03,204,2045461488979112332,5,4.938877860902809,closing hormuz strait,TF_IDF_stems
MB03,274,2045449825953415622,6,4.9055880232891225,closing hormuz strait,TF_IDF_stems
MB03,231,2045456663184847359,7,4.845365449956808,closing hormuz strait,TF_IDF_stems
MB03,247,2045454542460850480,8,4.845365449956808,closing hormuz strait,TF_IDF_stems
MB03,250,2045453773682671952,9,4.845365449956808,closing hormuz strait,TF_IDF_stems
MB03,253,2045452671298007229,10,4.845365449956808,closing hormuz strait,TF_IDF_stems
MB03,275,2045449695489892499,11,4.845365449956808,closing hormuz strait,TF_IDF_stems
MB03,292,2045447076343951468,12,4.845365449956808,closing hormuz strait,TF_IDF_stems
MB03,220,2045459033885491314,13,4.711401266124037,closing hormuz strait,TF_IDF_stems
MB03,244,2045454999518339562,14,4.711401266124037,closing hormuz strait,TF_IDF_stems
MB03,294,2045446979543585187,15,4.711401266124037,closing hormuz strait,TF_IDF_stems
MB03,212,2045460030061772928,16,4.603133926882829,closing hormuz strait,TF_IDF_stems
MB03,200,2045461866365718542,17,4.5846454432032235,closing hormuz strait,TF_IDF_stems
MB03,270,2045450185514344567,18,4.5846454432032235,closing hormuz strait,TF_IDF_stems
MB03,205,2045461058244976964,19,4.557677559684733,closing hormuz strait,TF_IDF_stems
MB03,203,2045461578875912680,20,4.464531421426368,closing hormuz strait,TF_IDF_stems
MB03,239,2045455725711986694,21,4.464531421426368,closing hormuz strait,TF_IDF_stems
MB03,229,2045456698228330845,22,4.449470699014304,closing hormuz strait,TF_IDF_stems
MB03,201,2045461708303724675,23,4.426883808049582,closing hormuz strait,TF_IDF_stems
MB03,213,2045459959824228366,24,4.419633833540741,closing hormuz strait,TF_IDF_stems
MB03,242,2045455214837117361,25,4.419633833540741,closing hormuz strait,TF_IDF_stems
MB03,284,2045448439035793778,26,4.419633833540741,closing hormuz strait,TF_IDF_stems
MB03,226,2045457568517218638,27,4.350550498837601,closing hormuz strait,TF_IDF_stems
MB03,268,2045450251713049084,28,4.350550498837601,closing hormuz strait,TF_IDF_stems
MB03,283,2045448604580515929,29,4.350550498837601,closing hormuz strait,TF_IDF_stems
MB04,304,2044685310668226788,0,6.200364253495124,intercepting missiles drones,TF_IDF_stems
MB04,338,2042715314702426508,1,6.018903160365345,intercepting missiles drones,TF_IDF_stems
MB04,316,2043887981031776405,2,5.995189897697914,intercepting missiles drones,TF_IDF_stems
MB04,370,2042119334873723208,3,5.847761412103651,intercepting missiles drones,TF_IDF_stems
MB04,362,2042254651806888064,4,5.756642787155604,intercepting missiles drones,TF_IDF_stems
MB04,300,2045394836304650479,5,5.533104362887558,intercepting missiles drones,TF_IDF_stems
MB04,324,2043347478355788094,6,5.533104362887558,intercepting missiles drones,TF_IDF_stems
MB04,379,2041973143313735695,7,5.522278597375261,intercepting missiles drones,TF_IDF_stems
MB04,315,2043932773380174155,8,5.38814148055109,intercepting missiles drones,TF_IDF_stems
MB04,328,2043225079988048080,9,5.38814148055109,intercepting missiles drones,TF_IDF_stems
MB04,307,2044427189308022874,10,5.29896791972042,intercepting missiles drones,TF_IDF_stems
MB04,317,2043841294741688481,11,5.264276658074802,intercepting missiles drones,TF_IDF_stems
MB04,381,2041956881044824180,12,5.160980087610614,intercepting missiles drones,TF_IDF_stems
MB04,394,2041887102116217327,13,5.1577111147002235,intercepting missiles drones,TF_IDF_stems
MB04,359,2042302133610168738,14,5.122816309396477,intercepting missiles drones,TF_IDF_stems
MB04,325,2043272541414826137,15,5.119868604626749,intercepting missiles drones,TF_IDF_stems
MB04,333,2042965263859999161,16,5.119868604626749,intercepting missiles drones,TF_IDF_stems
MB04,383,2041910637744284140,17,5.102803834472024,intercepting missiles drones,TF_IDF_stems
MB04,301,2045227088437997935,18,4.99550671129345,intercepting missiles drones,TF_IDF_stems
MB04,345,2042554367539044512,19,4.99550671129345,intercepting missiles drones,TF_IDF_stems
MB04,306,2044436974035980766,20,4.877043063858936,intercepting missiles drones,TF_IDF_stems
MB04,342,2042606291000979818,21,4.877043063858936,intercepting missiles drones,TF_IDF_stems
MB04,346,2042491002603061392,22,4.877043063858936,intercepting missiles drones,TF_IDF_stems
MB04,386,2041903437932020199,23,4.866374949201304,intercepting missiles drones,TF_IDF_stems
MB04,320,2043598876813467803,24,4.786556244797526,intercepting missiles drones,TF_IDF_stems
MB04,335,2042910570622357536,25,4.782321368848752,intercepting missiles drones,TF_IDF_stems
MB04,311,2044037152716013858,26,4.767972515327705,intercepting missiles drones,TF_IDF_stems
MB04,314,2043934581552787948,27,4.767972515327705,intercepting missiles drones,TF_IDF_stems
MB04,380,2041961120723038433,28,4.764067768831292,intercepting missiles drones,TF_IDF_stems
MB04,305,2044674816972890502,29,4.7230339087155935,intercepting missiles drones,TF_IDF_stems
MB05,405,2045459126311067980,0,5.160523917456422,revolutionary guard iran,TF_IDF_stems
MB05,437,2045424407573635553,1,4.59521651624891,revolutionary guard iran,TF_IDF_stems
MB05,416,2045446414579253519,2,4.428424959268955,revolutionary guard iran,TF_IDF_stems
MB05,436,2045426561290285330,3,4.260362321521686,revolutionary guard iran,TF_IDF_stems
MB05,498,2045310239486915006,4,4.260362321521686,revolutionary guard iran,TF_IDF_stems
MB05,413,2045449234804068693,5,4.2454481673377575,revolutionary guard iran,TF_IDF_stems
MB05,424,2045436789557764567,6,4.159655517717253,revolutionary guard iran,TF_IDF_stems
MB05,438,2045423473380532720,7,4.159655517717253,revolutionary guard iran,TF_IDF_stems
MB05,410,2045451395625619495,8,4.062982194302659,revolutionary guard iran,TF_IDF_stems
MB05,402,2045460941240746469,9,3.9983065612764053,revolutionary guard iran,TF_IDF_stems
MB05,411,2045451275244868029,10,3.9983065612764053,revolutionary guard iran,TF_IDF_stems
MB05,415,2045446936527024532,11,3.9709952357224454,revolutionary guard iran,TF_IDF_stems
MB05,488,2045338968556810498,12,3.9709952357224454,revolutionary guard iran,TF_IDF_stems
MB05,463,2045400738021687376,13,3.882151051044041,revolutionary guard iran,TF_IDF_stems
MB05,428,2045435273732047300,14,3.798975669386598,revolutionary guard iran,TF_IDF_stems
MB05,467,2045392249698041875,15,3.7184361896317695,revolutionary guard iran,TF_IDF_stems
MB05,474,2045366687168401511,16,3.7184361896317695,revolutionary guard iran,TF_IDF_stems
MB05,456,2045404629916090450,17,3.7111899141141147,revolutionary guard iran,TF_IDF_stems
MB05,469,2045390981793747013,18,3.7111899141141147,revolutionary guard iran,TF_IDF_stems
MB05,442,2045421242166235469,19,3.6774173993014747,revolutionary guard iran,TF_IDF_stems
MB05,445,2045416995433136438,20,3.6774173993014747,revolutionary guard iran,TF_IDF_stems
MB05,407,2045453851889950937,21,3.641240740019787,revolutionary guard iran,TF_IDF_stems
MB05,444,2045418445286854958,22,3.6199103933171095,revolutionary guard iran,TF_IDF_stems
MB05,400,2045462527568736598,23,3.5828603384176416,revolutionary guard iran,TF_IDF_stems
MB05,443,2045418988746703185,24,3.5828603384176416,revolutionary guard iran,TF_IDF_stems
MB05,497,2045311700803666228,25,3.5828603384176416,revolutionary guard iran,TF_IDF_stems
MB05,472,2045370881032265777,26,3.5671852881774426,revolutionary guard iran,TF_IDF_stems
MB05,430,2045432805434560942,27,3.5220325359969014,revolutionary guard iran,TF_IDF_stems
MB05,464,2045399533887029655,28,3.5220325359969014,revolutionary guard iran,TF_IDF_stems
MB05,403,2045460939474968746,29,3.49608206930085,revolutionary guard iran,TF_IDF_stems
MB01,74,2045436304238764390,0,4.160445947407241,regime change iran,PL2_stems
MB01,3,2045459926248829101,1,4.044269290243524,regime change iran,PL2_stems
MB01,2,2045460590563410352,2,3.7920898645602303,regime change iran,PL2_stems
MB01,53,2045441340368957757,3,3.7920898645602303,regime change iran,PL2_stems
MB01,89,2045434295410462920,4,3.7920898645602303,regime change iran,PL2_stems
MB01,20,2045453809359462654,5,3.6836800136453896,regime change iran,PL2_stems
MB01,36,2045447868765687984,6,3.586876255434687,regime change iran,PL2_stems
MB01,43,2045445702428315950,7,3.586876255434687,regime change iran,PL2_stems
MB01,25,2045452145101619611,8,3.415269999511641,regime change iran,PL2_stems
MB01,28,2045451431981748380,9,3.415269999511641,regime change iran,PL2_stems
MB01,44,2045444785696076112,10,3.415269999511641,regime change iran,PL2_stems
MB01,76,2045436169584808399,11,3.415269999511641,regime change iran,PL2_stems
MB01,95,2045433045063258122,12,3.415269999511641,regime change iran,PL2_stems
MB01,93,2045433390967517552,13,3.3304930137607824,regime change iran,PL2_stems
MB01,69,2045437692511711397,14,3.2689370956301107,regime change iran,PL2_stems
MB01,81,2045435852072092103,15,3.2689370956301107,regime change iran,PL2_stems
MB01,99,2045432568154042718,16,3.2689370956301107,regime change iran,PL2_stems
MB01,46,2045443906599346534,17,3.1495910085646073,regime change iran,PL2_stems
MB01,31,2045450762353090823,18,3.1422932859260553,regime change iran,PL2_stems
MB01,59,2045440283559784730,19,3.096752937242607,regime change iran,PL2_stems
MB01,65,2045438432747667600,20,3.031397676361676,regime change iran,PL2_stems
MB01,66,2045438384320205216,21,3.031397676361676,regime change iran,PL2_stems
MB01,72,2045436749246255493,22,3.031397676361676,regime change iran,PL2_stems
MB01,98,2045432583836598399,23,3.031397676361676,regime change iran,PL2_stems
MB01,144,2045379660976939335,24,3.031397676361676,regime change iran,PL2_stems
MB01,146,2045379059228487850,25,3.031397676361676,regime change iran,PL2_stems
MB01,0,2045461003153162682,26,2.933357708134644,regime change iran,PL2_stems
MB01,38,2045447137094230451,27,2.933357708134644,regime change iran,PL2_stems
MB01,42,2045446143811768783,28,2.933357708134644,regime change iran,PL2_stems
MB01,83,2045435452400796018,29,2.933357708134644,regime change iran,PL2_stems
MB02,112,2045427519814312418,0,3.724288641799278,regime collapse,PL2_stems
MB02,142,2045381055708860714,1,3.4643624923768375,regime collapse,PL2_stems
MB02,152,2045364763312455785,2,3.4643624923768375,regime collapse,PL2_stems
MB02,101,2045458769492979802,3,3.2568664479024303,regime collapse,PL2_stems
MB02,135,2045392180802396314,4,3.084490359737471,regime collapse,PL2_stems
MB02,156,2045358981343072490,5,3.084490359737471,regime collapse,PL2_stems
MB02,176,2045318504618868886,6,3.084490359737471,regime collapse,PL2_stems
MB02,178,2045315972463047147,7,2.9601115331898002,regime collapse,PL2_stems
MB02,172,2045326421111820314,8,2.859142187052262,regime collapse,PL2_stems
MB02,126,2045399549531890158,9,2.8097047414139196,regime collapse,PL2_stems
MB02,162,2045348543255150822,10,2.8097047414139196,regime collapse,PL2_stems
MB02,164,2045345115867349323,11,2.8097047414139196,regime collapse,PL2_stems
MB02,182,2045310621353177590,12,2.8097047414139196,regime collapse,PL2_stems
MB02,134,2045393312979542087,13,2.7665579775803275,regime collapse,PL2_stems
MB02,133,2045393501299548572,14,2.697075393552818,regime collapse,PL2_stems
MB02,189,2045305048268484832,15,2.6134062373503135,regime collapse,PL2_stems
MB02,65,2045438432747667600,16,2.596674157366386,regime collapse,PL2_stems
MB02,66,2045438384320205216,17,2.596674157366386,regime collapse,PL2_stems
MB02,103,2045455413861023835,18,2.596674157366386,regime collapse,PL2_stems
MB02,144,2045379660976939335,19,2.596674157366386,regime collapse,PL2_stems
MB02,146,2045379059228487850,20,2.596674157366386,regime collapse,PL2_stems
MB02,147,2045377434011488749,21,2.596674157366386,regime collapse,PL2_stems
MB02,173,2045325917611049104,22,2.596674157366386,regime collapse,PL2_stems
MB02,123,2045399803203592596,23,2.516021445866567,regime collapse,PL2_stems
MB02,124,2045399721959977051,24,2.516021445866567,regime collapse,PL2_stems
MB02,125,2045399616376758278,25,2.516021445866567,regime collapse,PL2_stems
MB02,127,2045399529609183420,26,2.516021445866567,regime collapse,PL2_stems
MB02,128,2045399431688945699,27,2.516021445866567,regime collapse,PL2_stems
MB02,129,2045399378849104068,28,2.516021445866567,regime collapse,PL2_stems
MB02,130,2045399286964535695,29,2.516021445866567,regime collapse,PL2_stems
MB03,210,2045460430038925635,0,4.898746380029251,closing hormuz strait,PL2_stems
MB03,243,2045455038752190844,1,4.898746380029251,closing hormuz strait,PL2_stems
MB03,246,2045454947257577803,2,4.898746380029251,closing hormuz strait,PL2_stems
MB03,299,2045446092720882085,3,4.898746380029251,closing hormuz strait,PL2_stems
MB03,204,2045461488979112332,4,4.864807594531723,closing hormuz strait,PL2_stems
MB03,217,2045459430100058130,5,4.804784699940336,closing hormuz strait,PL2_stems
MB03,274,2045449825953415622,6,4.8013854631737445,closing hormuz strait,PL2_stems
MB03,231,2045456663184847359,7,4.631534872149261,closing hormuz strait,PL2_stems
MB03,247,2045454542460850480,8,4.631534872149261,closing hormuz strait,PL2_stems
MB03,250,2045453773682671952,9,4.631534872149261,closing hormuz strait,PL2_stems
MB03,253,2045452671298007229,10,4.631534872149261,closing hormuz strait,PL2_stems
MB03,275,2045449695489892499,11,4.631534872149261,closing hormuz strait,PL2_stems
MB03,292,2045447076343951468,12,4.631534872149261,closing hormuz strait,PL2_stems
MB03,220,2045459033885491314,13,4.403080173613992,closing hormuz strait,PL2_stems
MB03,244,2045454999518339562,14,4.403080173613992,closing hormuz strait,PL2_stems
MB03,294,2045446979543585187,15,4.403080173613992,closing hormuz strait,PL2_stems
MB03,212,2045460030061772928,16,4.331177004596744,closing hormuz strait,PL2_stems
MB03,205,2045461058244976964,17,4.237077551374989,closing hormuz strait,PL2_stems
MB03,229,2045456698228330845,18,4.230864537044846,closing hormuz strait,PL2_stems
MB03,200,2045461866365718542,19,4.204081573879444,closing hormuz strait,PL2_stems
MB03,270,2045450185514344567,20,4.204081573879444,closing hormuz strait,PL2_stems
MB03,409,2045451486570635579,21,4.071420650984272,closing hormuz strait,PL2_stems
MB03,201,2045461708303724675,22,4.057655771110485,closing hormuz strait,PL2_stems
MB03,213,2045459959824228366,23,4.054607630653766,closing hormuz strait,PL2_stems
MB03,242,2045455214837117361,24,4.054607630653766,closing hormuz strait,PL2_stems
MB03,284,2045448439035793778,25,4.054607630653766,closing hormuz strait,PL2_stems
MB03,203,2045461578875912680,26,4.028281277737451,closing hormuz strait,PL2_stems
MB03,239,2045455725711986694,27,4.028281277737451,closing hormuz strait,PL2_stems
MB03,234,2045456267628757013,28,3.932063341430088,closing hormuz strait,PL2_stems
MB03,279,2045448778463740343,29,3.932063341430088,closing hormuz strait,PL2_stems
MB04,304,2044685310668226788,0,6.1280626703633985,intercepting missiles drones,PL2_stems
MB04,338,2042715314702426508,1,5.765441397284459,intercepting missiles drones,PL2_stems
MB04,316,2043887981031776405,2,5.760153050981513,intercepting missiles drones,PL2_stems
MB04,370,2042119334873723208,3,5.460470467526399,intercepting missiles drones,PL2_stems
MB04,362,2042254651806888064,4,5.37714951395548,intercepting missiles drones,PL2_stems
MB04,379,2041973143313735695,5,5.050487247230982,intercepting missiles drones,PL2_stems
MB04,307,2044427189308022874,6,4.981914331395723,intercepting missiles drones,PL2_stems
MB04,300,2045394836304650479,7,4.966318286891221,intercepting missiles drones,PL2_stems
MB04,324,2043347478355788094,8,4.966318286891221,intercepting missiles drones,PL2_stems
MB04,315,2043932773380174155,9,4.760579548531933,intercepting missiles drones,PL2_stems
MB04,328,2043225079988048080,10,4.760579548531933,intercepting missiles drones,PL2_stems
MB04,317,2043841294741688481,11,4.660579157804419,intercepting missiles drones,PL2_stems
MB04,394,2041887102116217327,12,4.640196253314865,intercepting missiles drones,PL2_stems
MB04,359,2042302133610168738,13,4.552733884804597,intercepting missiles drones,PL2_stems
MB04,381,2041956881044824180,14,4.527020037373433,intercepting missiles drones,PL2_stems
MB04,383,2041910637744284140,15,4.447091796211462,intercepting missiles drones,PL2_stems
MB04,325,2043272541414826137,16,4.40739599940986,intercepting missiles drones,PL2_stems
